molecule_name,packed_number,attempted_number
int_0__rpoS,0,0
int_0__rpoZ,0,13
surf_0__yecC,0,4
int_0__ybaQ,0,0
int_0__rpoA,1,25
int_0__rpoB,0,0
int_0__rpoC,0,4
int_0__rpoD,0,1
int_0__rpoE,0,0
int_0__rpoH,0,0
int_0__soxR,0,0
int_0__nirB,0,0
int_0__rpoN,0,1
int_0__acuI,1,1
int_0__dnaX,0,1
int_0__upp,0,30
int_0__plsX,0,0
int_0__dnaQ,0,0
int_0__dnaT,0,1
int_0__rfbA,0,1
int_0__plsC,0,0
int_0__rfbC,0,1
int_0__rfbB,0,1
int_0__dnaN,1,1
int_0__rfbD,0,1
int_0__dnaB,0,0
int_0__dnaC,0,0
int_0__dnaA,0,0
int_0__dnaG,0,0
int_0__treR,0,0
int_0__map,0,2
int_0__minC,0,0
int_0__treC,0,0
int_0__maa,0,0
int_0__minE,0,3
int_0__mak,0,1
int_0__menF,0,0
int_0__menC,0,0
int_0__menB,0,0
int_0__gss,0,1
int_0__menI,0,0
int_0__yhbW,0,0
int_0__yhbT,0,0
int_0__wrbA,0,0
int_0__yhbS,0,0
int_0__kdgR,0,0
int_0__gsk,0,0
int_0__rraA,0,1
int_0__rraB,0,3
int_0__rarA,0,0
int_0__ettA,0,3
int_0__gsiA,0,0
int_0__thiI,0,0
int_0__thiL,0,0
int_0__thiD,0,0
surf_0__fliF,0,3
surf_0__fliG,0,15
surf_0__yfbV,0,0
surf_0__fliO,0,3
int_0__mraZ,0,0
surf_0__fliP,0,0
int_0__erpA,0,5
int_0__ihfB,0,5
int_0__ihfA,0,6
int_0__tpiA,0,8
int_0__fliZ,0,0
surf_0__lldP,0,0
int_0__curA,0,0
int_0__fliS,0,0
int_0__fliN,0,0
int_0__fliM,0,1
int_0__fliK,0,0
int_0__fliH,0,0
int_0__fliI,0,0
int_0__fliE,0,2
int_0__fliA,0,2
surf_0__exbD,0,9
surf_0__exbB,0,12
int_0__tdcF,0,0
int_0__tdcE,0,0
